timestamp_iso,proposal_id,event,request_text,joints_json,semantics_json,comment
2026-07-23T16:23:18+0200,pose-10334392381249,disliked,open your hands wide,"{""LeftElbow"": 0.0, ""LeftShoulderRoll"": 1.57, ""LeftWristRoll"": 1.57, ""RightElbow"": 0.0, ""RightShoulderRoll"": -1.57, ""RightWristRoll"": -1.57}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.206,""y"":0.411,""z"":-0.056},""elbow_angle_deg"":92.6,""extension_ratio"":0.744,""concepts"":[""held forward"",""opened outward to the side"",""diagonal forward-and-outward"",""partly bent""]},""right"":{""shoulder_to_hand_m"":{""x"":0.207,""y"":-0.411,""z"":-0.053},""elbow_angle_deg"":92.6,""extension_ratio"":0.745,""concepts"":[""held forward"",""opened outward to the side"",""diagonal forward-and-outward"",""partly bent""]}},""proximity"":[],""whole_body_concepts"":[""both arms opened to the sides""]}",
2026-07-23T16:23:48+0200,pose-10334392381249,disliked,open your hands wide,"{""LeftElbow"": 0.0, ""LeftShoulderRoll"": 1.57, ""LeftWristRoll"": 1.57, ""RightElbow"": 0.0, ""RightShoulderRoll"": -1.57, ""RightWristRoll"": -1.57}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.206,""y"":0.411,""z"":-0.056},""elbow_angle_deg"":92.6,""extension_ratio"":0.744,""concepts"":[""held forward"",""opened outward to the side"",""diagonal forward-and-outward"",""partly bent""]},""right"":{""shoulder_to_hand_m"":{""x"":0.207,""y"":-0.411,""z"":-0.053},""elbow_angle_deg"":92.6,""extension_ratio"":0.745,""concepts"":[""held forward"",""opened outward to the side"",""diagonal forward-and-outward"",""partly bent""]}},""proximity"":[],""whole_body_concepts"":[""both arms opened to the sides""]}",elebows are 90 degree hands forward looking
2026-07-23T16:23:49+0200,pose-10334392381249,disliked,open your hands wide,"{""LeftElbow"": 0.0, ""LeftShoulderRoll"": 1.57, ""LeftWristRoll"": 1.57, ""RightElbow"": 0.0, ""RightShoulderRoll"": -1.57, ""RightWristRoll"": -1.57}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.206,""y"":0.411,""z"":-0.056},""elbow_angle_deg"":92.6,""extension_ratio"":0.744,""concepts"":[""held forward"",""opened outward to the side"",""diagonal forward-and-outward"",""partly bent""]},""right"":{""shoulder_to_hand_m"":{""x"":0.207,""y"":-0.411,""z"":-0.053},""elbow_angle_deg"":92.6,""extension_ratio"":0.745,""concepts"":[""held forward"",""opened outward to the side"",""diagonal forward-and-outward"",""partly bent""]}},""proximity"":[],""whole_body_concepts"":[""both arms opened to the sides""]}",elebows are 90 degree hands forward looking
2026-07-23T16:24:24+0200,pose-10428963782180,liked,open your arms wide,"{""LeftShoulderRoll"": 1.57, ""RightShoulderRoll"": -1.57}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.143,""y"":0.55,""z"":-0.038},""elbow_angle_deg"":130.7,""extension_ratio"":0.915,""concepts"":[""opened outward to the side"",""nearly straight""]},""right"":{""shoulder_to_hand_m"":{""x"":0.143,""y"":-0.55,""z"":-0.037},""elbow_angle_deg"":130.9,""extension_ratio"":0.916,""concepts"":[""opened outward to the side"",""nearly straight""]}},""proximity"":[],""whole_body_concepts"":[""both arms opened to the sides""]}",
2026-07-23T16:24:30+0200,pose-10428963782180,executed,open your arms wide,"{""LeftShoulderRoll"": 1.57, ""RightShoulderRoll"": -1.57}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.143,""y"":0.55,""z"":-0.038},""elbow_angle_deg"":130.7,""extension_ratio"":0.915,""concepts"":[""opened outward to the side"",""nearly straight""]},""right"":{""shoulder_to_hand_m"":{""x"":0.143,""y"":-0.55,""z"":-0.037},""elbow_angle_deg"":130.9,""extension_ratio"":0.916,""concepts"":[""opened outward to the side"",""nearly straight""]}},""proximity"":[],""whole_body_concepts"":[""both arms opened to the sides""]}",
2026-07-23T16:27:56+0200,pose-10640119723850,disliked,raise your hands,"{""LeftShoulderPitch"": -2.2, ""LeftShoulderRoll"": -0.35, ""RightShoulderPitch"": -2.2, ""RightShoulderRoll"": -0.35}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.212,""y"":-0.318,""z"":0.297},""elbow_angle_deg"":126.7,""extension_ratio"":0.896,""concepts"":[""held forward"",""reaching across the body"",""raised above the shoulder"",""diagonal forward across the torso"",""nearly straight""]},""right"":{""shoulder_to_hand_m"":{""x"":0.291,""y"":0.027,""z"":0.435},""elbow_angle_deg"":126.9,""extension_ratio"":0.9,""concepts"":[""held forward"",""raised above the shoulder"",""nearly straight""]}},""proximity"":[""left_hand_to_face near"",""between_hands very close""],""whole_body_concepts"":[""both arms raised"",""hands held together""]}",
2026-07-23T16:28:35+0200,pose-10679213410553,liked,raise your hands,"{""LeftShoulderPitch"": -2.2, ""LeftShoulderRoll"": 0.35, ""RightShoulderPitch"": -2.2, ""RightShoulderRoll"": -0.35}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.291,""y"":-0.029,""z"":0.435},""elbow_angle_deg"":126.9,""extension_ratio"":0.899,""concepts"":[""held forward"",""raised above the shoulder"",""nearly straight""]},""right"":{""shoulder_to_hand_m"":{""x"":0.291,""y"":0.027,""z"":0.435},""elbow_angle_deg"":126.9,""extension_ratio"":0.9,""concepts"":[""held forward"",""raised above the shoulder"",""nearly straight""]}},""proximity"":[""between_hands near""],""whole_body_concepts"":[""both arms held forward"",""both arms raised""]}",
2026-07-23T16:28:42+0200,pose-10679213410553,executed,raise your hands,"{""LeftShoulderPitch"": -2.2, ""LeftShoulderRoll"": 0.35, ""RightShoulderPitch"": -2.2, ""RightShoulderRoll"": -0.35}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.291,""y"":-0.029,""z"":0.435},""elbow_angle_deg"":126.9,""extension_ratio"":0.899,""concepts"":[""held forward"",""raised above the shoulder"",""nearly straight""]},""right"":{""shoulder_to_hand_m"":{""x"":0.291,""y"":0.027,""z"":0.435},""elbow_angle_deg"":126.9,""extension_ratio"":0.9,""concepts"":[""held forward"",""raised above the shoulder"",""nearly straight""]}},""proximity"":[""between_hands near""],""whole_body_concepts"":[""both arms held forward"",""both arms raised""]}",
2026-07-23T16:29:03+0200,pose-10708297741752,liked,bring your hands forward,"{""LeftElbow"": 1.57, ""LeftShoulderPitch"": -1.57, ""RightElbow"": 1.57, ""RightShoulderPitch"": -1.57}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.56,""y"":0.108,""z"":0.023},""elbow_angle_deg"":156.3,""extension_ratio"":0.98,""concepts"":[""held forward"",""nearly straight""]},""right"":{""shoulder_to_hand_m"":{""x"":0.559,""y"":-0.109,""z"":0.024},""elbow_angle_deg"":156.3,""extension_ratio"":0.98,""concepts"":[""held forward"",""nearly straight""]}},""proximity"":[],""whole_body_concepts"":[""both arms held forward""]}",
2026-07-23T16:29:12+0200,pose-10708297741752,executed,bring your hands forward,"{""LeftElbow"": 1.57, ""LeftShoulderPitch"": -1.57, ""RightElbow"": 1.57, ""RightShoulderPitch"": -1.57}","{""arms"":{""left"":{""shoulder_to_hand_m"":{""x"":0.56,""y"":0.108,""z"":0.023},""elbow_angle_deg"":156.3,""extension_ratio"":0.98,""concepts"":[""held forward"",""nearly straight""]},""right"":{""shoulder_to_hand_m"":{""x"":0.559,""y"":-0.109,""z"":0.024},""elbow_angle_deg"":156.3,""extension_ratio"":0.98,""concepts"":[""held forward"",""nearly straight""]}},""proximity"":[],""whole_body_concepts"":[""both arms held forward""]}",
